材料,酶活,底物,pH,温度(℃),指标,等级,tier,文献数,倍数,疑因标签,逐条取值(DOI=值),人工复核结论,复核备注
fe3o4,peroxidase,H2O2,4.45,25.0,vmax_um_s,严重,3,3,16.87,跨文献,10.1016/j.matlet.2013.04.020=0.2396 | 10.1016/j.matlet.2013.04.020=0.2396 | 10.1016/j.matlet.2013.04.020=0.2396 | 10.1002/anie.201904751=0.04598 | 10.1002/anie.201904751=0.04598 | 10.1088/1361-6463/aa5bf6=0.014199999999999999,,
agvo3,peroxidase,TMB,4.0,25.0,km_mm,严重,3,2,8.08,跨文献,10.1002/jccs.201700031=0.0412 | 10.1007/s00604-017-2562-z=0.333,,
pdnicl2,peroxidase,TMB,4.0,25.0,km_mm,严重,3,2,7.78,跨文献,10.1007/s00604-020-4208-9=0.036 | 10.1007/s12274-017-1868-9=0.28,,
ceo2,peroxidase,H2O2,3.8,40.0,vmax_um_s,严重,3,2,5.06,跨文献,10.1016/j.msec.2015.10.046=0.0025900000000000003 | 10.1016/j.msec.2015.10.046=0.00496 | 10.1016/j.snb.2016.09.049=0.0131 | 10.1016/j.snb.2016.09.049=0.0087,,
cu,peroxidase,TMB,6.0,30.0,vmax_um_s,严重,3,2,7.58,跨文献,10.1016/j.aca.2012.11.056=0.0596 | 10.1007/s00604-016-1915-3=0.45199999999999996,,
pdnicl2,peroxidase,H2O2,4.0,25.0,km_mm,严重,3,2,7.21,跨文献,10.1007/s00604-020-4208-9=78.0 | 10.1007/s12274-017-1868-9=10.82,,
fe3o4,peroxidase,TMB,3.6,37.0,km_mm,严重,3,4,1194.0,跨文献,10.1038/s41596-018-0001-1=0.2411 | 10.1038/s41596-018-0001-1=0.2411 | 10.1038/s41596-018-0001-1=0.2411 | 10.1038/s41596-018-0001-1=0.2411 | 10.1002/smll.202105673=0.3582 | 10.1016/j.apsusc.2023.157185=0.0003 | 10.1038/s41929-021-00609-x=0.0349,,
v2o5,peroxidase,GSH,7.4,25.0,km_mm,严重,3,2,2.68,跨文献,10.1016/j.ica.2018.09.045=1.28 | 10.1016/j.ica.2018.09.045=1.28 | 10.1002/anie.201800681=1.28 | 10.1002/anie.201800681=1.671 | 10.1002/anie.201800681=1.958 | 10.1002/anie.201800681=3.425,,
pt,oxidase,TMB,4.0,35.0,km_mm,严重,3,2,6.18,跨文献,10.1039/c3nr06896j=0.63 | 10.3390/nano10061015=0.102,,
pdpt,peroxidase,H2O2,4.0,25.0,vmax_um_s,严重,3,2,6.44,跨文献,10.1002/adfm.201801484=0.09000000000000001 | 10.1016/j.sintl.2020.100031=0.25999999999999995 | 10.1016/j.sintl.2020.100031=0.42000000000000004 | 10.1016/j.sintl.2020.100031=0.58,,
